rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
2.9765500303,2006,T,COCAINE,6420258,198,0.2128656957,2.573941077,3.428996009
0.8206151208,2006,F,DIAZEPAM,3217341,28,0.1564666966,0.5430990426,1.199222421
0.9569264766,2006,M,DIAZEPAM,3202917,33,0.1675307109,0.6571678078,1.369637151
0.8901077815,2006,T,DIAZEPAM,6420258,61,0.1147551548,0.6795145608,1.1512134039
1.5983073545,2006,F,DIPHENHYDRAMINE,3217341,53,0.2210936681,1.1946238953,2.1020840488
1.2092037476,2006,M,DIPHENHYDRAMINE,3202917,40,0.1921806822,0.8622434516,1.6698019521
1.4101988781,2006,T,DIPHENHYDRAMINE,6420258,93,0.1471336744,1.1366255584,1.7346232634
0.3616467303,2006,F,HEROIN,3217341,12,0.1052551952,0.1856894308,0.644042021
1.2280133088,2006,M,HEROIN,3202917,41,0.1930533898,0.8791460761,1.6901075831
0.7981400637,2006,T,HEROIN,6420258,53,0.1104597072,0.596464691,1.0513752493
1.5482217853,2006,F,HYDROCODONE,3217341,51,0.2187720142,1.1494222842,2.0477928858
0.9960916475,2006,M,HYDROCODONE,3202917,34,0.1718311739,0.6881973398,1.4172110962
1.2723722024,2006,T,HYDROCODONE,6420258,85,0.1389842199,1.014619504,1.5808035528
3.8985938892,2006,F,METHADONE,3217341,129,0.3462546042,3.2495272064,4.6459622326
6.2128049841,2006,M,METHADONE,3202917,209,0.4325297825,5.3939333594,7.1385469459
5.069323678,2006,T,METHADONE,6420258,338,0.277680847,4.5396259106,5.6484315594
0.5656597804,2006,F,METHAMPHETAMINE,3217341,18,0.1341283501,0.3340542071,0.9033205048
1.7238097006,2006,M,METHAMPHETAMINE,3202917,59,0.2255946352,1.3102431077,2.2475132292
1.1476407391,2006,T,METHAMPHETAMINE,6420258,77,0.1316036753,0.9042793848,1.4416599719
1.11504519,2006,F,MORPHINE,3217341,38,0.1824205936,0.7865542346,1.543481211
0.8468860869,2006,M,MORPHINE,3202917,29,0.158359928,0.5654272966,1.2425334108
0.9816893628,2006,T,MORPHINE,6420258,67,0.1208366236,0.7592401736,1.2546377005
0.7193532013,2006,F,OPIATE,3217341,23,0.1511028589,0.4542986825,1.089305079
1.0783538734,2006,M,OPIATE,3202917,36,0.18059424,0.753849544,1.5166251486
